Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad 1 X,Pad 1 Y,Layer,Rotation
C1,603,2710,1430,2710,1430,2710,1463.5,B,270
C2,603,2560,1470,2560,1470,2526.5,1470,B,180
C3,603,2560,1340,2560,1340,2526.5,1340,B,180
C4,603,2560,1140,2560,1140,2526.5,1140,B,180
C5,603,2560,1050,2560,1050,2526.5,1050,B,180
C6,603,2750,1090,2750,1090,2750,1056.5,B,90
C7,603,2900,1050,2900,1050,2933.5,1050,B,0
C8,603,2900,1160,2900,1160,2933.5,1160,B,0
C9,603,2900,1470,2900,1470,2933.5,1470,B,0
C10,603,2900,1350,2900,1350,2933.5,1350,B,0
C11,603,2410,810,2410,810,2410,843.5,T,270
C12,603,610,200,610,200,610,233.5,B,270
C13,603,1860,1650,1860,1650,1860,1683.5,B,270
C14,603,2090,1650,2090,1650,2090,1683.5,B,270
C15,1210,1620,2100,1620,2100,1685,2100,B,0
C16,1210,920,2150,920,2150,920,2085,T,90
C17,1210,1630,240,1630,240,1630,175,T,90
C18,1210,710,340,710,340,710,275,T,90
C19,603,2160,670,2160,670,2160,636.5,T,90
C20,603,2450,480,2450,480,2450,513.5,T,270
C21,603,2570,480,2570,480,2570,513.5,T,270
C22,603,2630,480,2630,480,2630,513.5,T,270
C23,603,1130,560,1130,560,1130,526.5,T,90
C24,603,1130,1260,1130,1260,1130,1226.5,T,90
C25,603,2510,480,2510,480,2510,513.5,T,270
C26,603,1570,1080,1570,1080,1536.5,1080,B,180
C27,603,1570,720,1570,720,1536.5,720,B,180
C28,603,1570,900,1570,900,1536.5,900,B,180
C29,603,1430,960,1430,960,1463.5,960,B,0
C30,603,1430,720,1430,720,1463.5,720,B,0
C31,603,1430,660,1430,660,1463.5,660,B,0
C32,603,1430,540,1430,540,1463.5,540,B,0
C33,603,2160,800,2160,800,2160,766.5,T,90
C34,603,2020,720,2020,720,2053.5,720,T,180
C35,603,2020,1260,2020,1260,2053.5,1260,B,0
C36,603,2050,1020,2050,1020,2050,1053.5,B,270
C37,603,1930,1020,1930,1020,1930,1053.5,B,270
C38,603,1990,1020,1990,1020,1990,1053.5,B,270
C39,603,2110,1020,2110,1020,2110,1053.5,B,270
C40,603,1570,1780,1570,1780,1536.5,1780,B,180
C41,603,1570,1420,1570,1420,1536.5,1420,B,180
C42,603,1570,1600,1570,1600,1536.5,1600,B,180
C43,603,1430,1660,1430,1660,1463.5,1660,B,0
C44,603,1430,1420,1430,1420,1463.5,1420,B,0
C45,603,1430,1360,1430,1360,1463.5,1360,B,0
C46,603,1430,1240,1430,1240,1463.5,1240,B,0
C47,603,1070,1650,1070,1650,1070,1683.5,B,270
C48,603,1070,1520,1070,1520,1070,1486.5,B,90
C49,603,1070,880,1070,880,1070,913.5,B,270
C50,603,1070,750,1070,750,1070,716.5,B,90
C53,603,890,90,890,90,923.5,90,T,180
C54,603,1100,1900,1100,1900,1133.5,1900,T,180
D1,SSC53L-E3,720,1992.5,720,2000,720,1870,T,90
D4,0603-POLERIZED,150,1830,160,1830,129,1830,T,0
D5,0603-POLERIZED,60,400,60,410,60,379,T,90
D6,0603-POLERIZED,150,1990,160,1990,129,1990,T,0
D7,0603-POLERIZED,150,1910,160,1910,129,1910,T,0
D8,LRTBR98G,2570.876,1744.813,2580,1750,2550.472,1724.409,T,0
D9,LRTBR98G,2514.813,1820.876,2520,1830,2494.409,1800.472,B,90
L1,VLP8040T-6R8M,1510,2080,1510,2080,1417.48,2080,T,0
L2,VLP8040T-6R8M,1360,210,1360,210,1267.48,210,T,0
L3,603,2900,1410,2900,1410,2866.5,1410,B,180
L4,603,1430,900,1430,900,1396.5,900,B,180
L5,603,1430,480,1430,480,1396.5,480,B,180
L6,603,1430,1600,1430,1600,1396.5,1600,B,180
L7,603,1430,1180,1430,1180,1396.5,1180,B,180
Q1,NTA7002NT1G,2770,1270,2770,1270,2744.5,1250.5,B,90
Q2,NTA7002NT1G,1940,620,1940,620,1914.5,600.5,B,90
Q3,NTA7002NT1G,2710,1880,2710,1880,2735.5,1899.5,B,270
Q4,NTA7002NT1G,2620,1880,2620,1880,2645.5,1899.5,B,270
Q5,NTA7002NT1G,2620,1750,2620,1750,2645.5,1769.5,B,270
R1,603,670,200,670,200,670,166.5,B,90
R2,603,220,1960,220,1960,220,1926.5,B,90
R3,603,120,1990,120,1990,153.5,1990,B,0
R4,603,120,1930,120,1930,153.5,1930,B,0
R5,603,2220,1480,2220,1480,2220,1446.5,T,90
R6,603,1820,480,1820,480,1853.5,480,T,180
R7,603,2100,1480,2100,1480,2100,1446.5,T,90
R8,603,1430,1020,1430,1020,1463.5,1020,B,0
R9,603,1430,780,1430,780,1396.5,780,B,180
R10,603,1430,1720,1430,1720,1463.5,1720,B,0
R11,603,1430,1480,1430,1480,1396.5,1480,B,180
R12,603,1190,650,1190,650,1190,616.5,T,90
R13,603,1130,750,1130,750,1130,783.5,T,270
R14,603,1190,850,1190,850,1190,816.5,T,90
R15,603,1130,950,1130,950,1130,983.5,T,270
R16,603,1190,1350,1190,1350,1190,1316.5,T,90
R17,603,1130,1450,1130,1450,1130,1483.5,T,270
R18,603,1190,1550,1190,1550,1190,1516.5,T,90
R19,603,1130,1650,1130,1650,1130,1683.5,T,270
R20,603,1130,1520,1130,1520,1130,1486.5,B,90
R21,603,1070,620,1070,620,1070,586.5,B,90
R22,603,1430,1780,1430,1780,1396.5,1780,B,180
R23,603,1570,1360,1570,1360,1603.5,1360,B,0
R24,603,1570,1300,1570,1300,1603.5,1300,B,0
R25,603,1570,1240,1570,1240,1603.5,1240,B,0
R26,603,1570,1180,1570,1180,1603.5,1180,B,0
R27,603,1570,1720,1570,1720,1603.5,1720,B,0
R28,603,1570,1660,1570,1660,1603.5,1660,B,0
R29,603,1570,1540,1570,1540,1603.5,1540,B,0
R30,603,1570,1480,1570,1480,1603.5,1480,B,0
R31,603,1430,1080,1430,1080,1396.5,1080,B,180
R32,603,1570,660,1570,660,1603.5,660,B,0
R33,603,1570,600,1570,600,1603.5,600,B,0
R34,603,1570,540,1570,540,1603.5,540,B,0
R35,603,1570,480,1570,480,1603.5,480,B,0
R36,603,1570,1020,1570,1020,1603.5,1020,B,0
R37,603,1570,960,1570,960,1603.5,960,B,0
R38,603,1570,840,1570,840,1603.5,840,B,0
R39,603,1570,780,1570,780,1603.5,780,B,0
R40,603,1920,840,1920,840,1920,873.5,B,270
R41,603,2040,1480,2040,1480,2040,1446.5,T,90
R42,603,1860,1480,1860,1480,1860,1446.5,T,90
R43,603,1920,1480,1920,1480,1920,1446.5,T,90
R44,603,1800,1480,1800,1480,1800,1446.5,T,90
R45,603,2160,1480,2160,1480,2160,1446.5,T,90
R46,603,1820,540,1820,540,1786.5,540,T,0
R47,603,1790,840,1790,840,1790,873.5,B,270
R48,603,1790,970,1790,970,1790,1003.5,B,270
R49,603,1760,1070,1760,1070,1726.5,1070,B,180
R50,603,2040,840,2040,840,2040,873.5,B,270
R51,603,1980,840,1980,840,1980,806.5,B,90
R52,603,1980,1480,1980,1480,1980,1513.5,T,270
R53,603,130,410,130,410,130,443.5,T,270
R54,603,2380,1780,2380,1780,2413.5,1780,B,0
R55,603,2380,1720,2380,1720,2413.5,1720,B,0
R56,603,2380,1840,2380,1840,2413.5,1840,B,0
R57,603,710,150,710,150,676.5,150,T,0
R58,603,710,90,710,90,743.5,90,T,180
R59,603,1040,90,1040,90,1073.5,90,T,180
R60,603,970,1900,970,1900,1003.5,1900,T,180
R61,603,1230,1900,1230,1900,1263.5,1900,T,180
